[2025-12-06 20:31:33] ========================================
[2025-12-06 20:31:33] Run: ddqn_ticker-AAPL_hmax-50_ep-750_seed-0_f0ae30cc3a30167c94008c9384dcf21b
[2025-12-06 20:31:33] Device: cpu
[2025-12-06 20:31:33] Episodes=750, eval_interval=50, gamma=0.99, lr=0.0001, batch_size=64
[2025-12-06 20:31:33] Env: initial_amount=100000.0, hmax=50, buy_cost_pct=0.001, sell_cost_pct=0.001, window_size=50, max_pos=1000
[2025-12-06 20:31:33] ========================================
[2025-12-06 20:31:33] State dimension: 57, Action dimension: 101
[2025-12-06 20:31:35] Agent: DDQNAgent with hidden_sizes=(128, 128), buffer_capacity=100000, min_buffer_size=1000
[2025-12-06 20:31:35] Starting training.
[2025-12-06 20:31:37] Ep 001/750 | train_final=110323.91 (ret=0.1032) | avg_td_loss=0.5796
[2025-12-06 20:31:41] Ep 002/750 | train_final=116874.98 (ret=0.1687) | avg_td_loss=0.1408
[2025-12-06 20:31:44] Ep 003/750 | train_final=131343.15 (ret=0.3134) | avg_td_loss=0.0015
[2025-12-06 20:31:48] Ep 004/750 | train_final=132850.10 (ret=0.3285) | avg_td_loss=0.0015
[2025-12-06 20:31:51] Ep 005/750 | train_final=143693.87 (ret=0.4369) | avg_td_loss=0.0014
[2025-12-06 20:31:54] Ep 006/750 | train_final=143661.77 (ret=0.4366) | avg_td_loss=0.0013
[2025-12-06 20:31:58] Ep 007/750 | train_final=137972.32 (ret=0.3797) | avg_td_loss=0.0013
[2025-12-06 20:32:01] Ep 008/750 | train_final=110965.63 (ret=0.1097) | avg_td_loss=0.0014
[2025-12-06 20:32:05] Ep 009/750 | train_final=129099.17 (ret=0.2910) | avg_td_loss=0.0012
[2025-12-06 20:32:09] Ep 010/750 | train_final=114388.00 (ret=0.1439) | avg_td_loss=0.0012
[2025-12-06 20:32:12] Ep 011/750 | train_final=131243.52 (ret=0.3124) | avg_td_loss=0.0011
[2025-12-06 20:32:16] Ep 012/750 | train_final=136087.78 (ret=0.3609) | avg_td_loss=0.0011
[2025-12-06 20:32:19] Ep 013/750 | train_final=144225.37 (ret=0.4423) | avg_td_loss=0.0012
[2025-12-06 20:32:22] Ep 014/750 | train_final=129961.78 (ret=0.2996) | avg_td_loss=0.0013
[2025-12-06 20:32:26] Ep 015/750 | train_final=131025.87 (ret=0.3103) | avg_td_loss=0.0013
[2025-12-06 20:32:30] Ep 016/750 | train_final=144036.98 (ret=0.4404) | avg_td_loss=0.0014
[2025-12-06 20:32:33] Ep 017/750 | train_final=133432.86 (ret=0.3343) | avg_td_loss=0.0014
[2025-12-06 20:32:37] Ep 018/750 | train_final=147165.13 (ret=0.4717) | avg_td_loss=0.0014
[2025-12-06 20:32:41] Ep 019/750 | train_final=144428.76 (ret=0.4443) | avg_td_loss=0.0015
[2025-12-06 20:32:45] Ep 020/750 | train_final=142879.22 (ret=0.4288) | avg_td_loss=0.0015
[2025-12-06 20:32:49] Ep 021/750 | train_final=145128.02 (ret=0.4513) | avg_td_loss=0.0015
[2025-12-06 20:32:53] Ep 022/750 | train_final=140865.57 (ret=0.4087) | avg_td_loss=0.0016
[2025-12-06 20:32:56] Ep 023/750 | train_final=151354.42 (ret=0.5135) | avg_td_loss=0.0016
[2025-12-06 20:33:00] Ep 024/750 | train_final=143473.70 (ret=0.4347) | avg_td_loss=0.0016
[2025-12-06 20:33:04] Ep 025/750 | train_final=146896.96 (ret=0.4690) | avg_td_loss=0.0016
[2025-12-06 20:33:07] Ep 026/750 | train_final=144037.30 (ret=0.4404) | avg_td_loss=0.0017
[2025-12-06 20:33:11] Ep 027/750 | train_final=139308.56 (ret=0.3931) | avg_td_loss=0.0017
[2025-12-06 20:33:14] Ep 028/750 | train_final=148840.60 (ret=0.4884) | avg_td_loss=0.0017
[2025-12-06 20:33:18] Ep 029/750 | train_final=143644.16 (ret=0.4364) | avg_td_loss=0.0017
[2025-12-06 20:33:22] Ep 030/750 | train_final=145505.01 (ret=0.4551) | avg_td_loss=0.0018
[2025-12-06 20:33:25] Ep 031/750 | train_final=141672.75 (ret=0.4167) | avg_td_loss=0.0017
[2025-12-06 20:33:28] Ep 032/750 | train_final=146284.56 (ret=0.4628) | avg_td_loss=0.0017
[2025-12-06 20:33:32] Ep 033/750 | train_final=151087.12 (ret=0.5109) | avg_td_loss=0.0018
[2025-12-06 20:33:35] Ep 034/750 | train_final=155124.28 (ret=0.5512) | avg_td_loss=0.0017
[2025-12-06 20:33:39] Ep 035/750 | train_final=155707.13 (ret=0.5571) | avg_td_loss=0.0018
[2025-12-06 20:33:43] Ep 036/750 | train_final=149472.05 (ret=0.4947) | avg_td_loss=0.0017
[2025-12-06 20:33:46] Ep 037/750 | train_final=132988.54 (ret=0.3299) | avg_td_loss=0.0017
[2025-12-06 20:33:50] Ep 038/750 | train_final=148401.65 (ret=0.4840) | avg_td_loss=0.0017
[2025-12-06 20:33:54] Ep 039/750 | train_final=127915.50 (ret=0.2792) | avg_td_loss=0.0017
[2025-12-06 20:33:57] Ep 040/750 | train_final=142827.76 (ret=0.4283) | avg_td_loss=0.0017
[2025-12-06 20:34:01] Ep 041/750 | train_final=159264.97 (ret=0.5926) | avg_td_loss=0.0018
[2025-12-06 20:34:04] Ep 042/750 | train_final=129117.89 (ret=0.2912) | avg_td_loss=0.0017
[2025-12-06 20:34:08] Ep 043/750 | train_final=140780.06 (ret=0.4078) | avg_td_loss=0.0017
[2025-12-06 20:34:12] Ep 044/750 | train_final=143102.23 (ret=0.4310) | avg_td_loss=0.0018
[2025-12-06 20:34:16] Ep 045/750 | train_final=145977.72 (ret=0.4598) | avg_td_loss=0.0017
[2025-12-06 20:34:21] Ep 046/750 | train_final=159304.73 (ret=0.5930) | avg_td_loss=0.0017
[2025-12-06 20:34:25] Ep 047/750 | train_final=150450.34 (ret=0.5045) | avg_td_loss=0.0017
[2025-12-06 20:34:28] Ep 048/750 | train_final=158777.27 (ret=0.5878) | avg_td_loss=0.0017
[2025-12-06 20:34:32] Ep 049/750 | train_final=146933.19 (ret=0.4693) | avg_td_loss=0.0017
[2025-12-06 20:34:36] Ep 050/750 | train_final=145235.65 (ret=0.4524) | avg_td_loss=0.0018 | val_final=103102.42 (ret=0.0310) (saved best)
[2025-12-06 20:34:40] Ep 051/750 | train_final=151541.58 (ret=0.5154) | avg_td_loss=0.0018
[2025-12-06 20:34:44] Ep 052/750 | train_final=146603.61 (ret=0.4660) | avg_td_loss=0.0018
[2025-12-06 20:34:47] Ep 053/750 | train_final=151751.27 (ret=0.5175) | avg_td_loss=0.0017
[2025-12-06 20:34:51] Ep 054/750 | train_final=149965.44 (ret=0.4997) | avg_td_loss=0.0018
[2025-12-06 20:34:55] Ep 055/750 | train_final=158467.17 (ret=0.5847) | avg_td_loss=0.0017
[2025-12-06 20:34:59] Ep 056/750 | train_final=151682.61 (ret=0.5168) | avg_td_loss=0.0018
[2025-12-06 20:35:03] Ep 057/750 | train_final=152425.62 (ret=0.5243) | avg_td_loss=0.0018
[2025-12-06 20:35:06] Ep 058/750 | train_final=150433.48 (ret=0.5043) | avg_td_loss=0.0018
[2025-12-06 20:35:10] Ep 059/750 | train_final=155146.88 (ret=0.5515) | avg_td_loss=0.0019
[2025-12-06 20:35:14] Ep 060/750 | train_final=153342.59 (ret=0.5334) | avg_td_loss=0.0019
[2025-12-06 20:35:18] Ep 061/750 | train_final=157859.79 (ret=0.5786) | avg_td_loss=0.0019
[2025-12-06 20:35:22] Ep 062/750 | train_final=148470.85 (ret=0.4847) | avg_td_loss=0.0019
[2025-12-06 20:35:26] Ep 063/750 | train_final=148599.57 (ret=0.4860) | avg_td_loss=0.0020
[2025-12-06 20:35:29] Ep 064/750 | train_final=154463.22 (ret=0.5446) | avg_td_loss=0.0020
[2025-12-06 20:35:33] Ep 065/750 | train_final=151171.31 (ret=0.5117) | avg_td_loss=0.0020
[2025-12-06 20:35:37] Ep 066/750 | train_final=150921.45 (ret=0.5092) | avg_td_loss=0.0020
[2025-12-06 20:35:41] Ep 067/750 | train_final=144077.88 (ret=0.4408) | avg_td_loss=0.0019
[2025-12-06 20:35:45] Ep 068/750 | train_final=149858.50 (ret=0.4986) | avg_td_loss=0.0020
[2025-12-06 20:35:49] Ep 069/750 | train_final=144005.40 (ret=0.4401) | avg_td_loss=0.0019
[2025-12-06 20:35:53] Ep 070/750 | train_final=142330.99 (ret=0.4233) | avg_td_loss=0.0019
[2025-12-06 20:35:57] Ep 071/750 | train_final=150037.90 (ret=0.5004) | avg_td_loss=0.0020
[2025-12-06 20:36:00] Ep 072/750 | train_final=142921.78 (ret=0.4292) | avg_td_loss=0.0019
[2025-12-06 20:36:04] Ep 073/750 | train_final=148026.57 (ret=0.4803) | avg_td_loss=0.0019
[2025-12-06 20:36:08] Ep 074/750 | train_final=139940.56 (ret=0.3994) | avg_td_loss=0.0019
[2025-12-06 20:36:12] Ep 075/750 | train_final=137248.86 (ret=0.3725) | avg_td_loss=0.0019
[2025-12-06 20:36:16] Ep 076/750 | train_final=153140.58 (ret=0.5314) | avg_td_loss=0.0018
[2025-12-06 20:36:20] Ep 077/750 | train_final=137202.86 (ret=0.3720) | avg_td_loss=0.0019
[2025-12-06 20:36:24] Ep 078/750 | train_final=143398.06 (ret=0.4340) | avg_td_loss=0.0018
[2025-12-06 20:36:28] Ep 079/750 | train_final=143715.85 (ret=0.4372) | avg_td_loss=0.0019
[2025-12-06 20:36:32] Ep 080/750 | train_final=128290.70 (ret=0.2829) | avg_td_loss=0.0018
[2025-12-06 20:36:35] Ep 081/750 | train_final=139557.76 (ret=0.3956) | avg_td_loss=0.0018
[2025-12-06 20:36:39] Ep 082/750 | train_final=142453.32 (ret=0.4245) | avg_td_loss=0.0018
[2025-12-06 20:36:43] Ep 083/750 | train_final=138527.92 (ret=0.3853) | avg_td_loss=0.0018
[2025-12-06 20:36:47] Ep 084/750 | train_final=136635.06 (ret=0.3664) | avg_td_loss=0.0018
[2025-12-06 20:36:51] Ep 085/750 | train_final=157018.76 (ret=0.5702) | avg_td_loss=0.0018
[2025-12-06 20:36:55] Ep 086/750 | train_final=141342.66 (ret=0.4134) | avg_td_loss=0.0018
[2025-12-06 20:36:59] Ep 087/750 | train_final=140712.74 (ret=0.4071) | avg_td_loss=0.0019
[2025-12-06 20:37:03] Ep 088/750 | train_final=146350.19 (ret=0.4635) | avg_td_loss=0.0019
[2025-12-06 20:37:07] Ep 089/750 | train_final=152984.70 (ret=0.5298) | avg_td_loss=0.0018
[2025-12-06 20:37:10] Ep 090/750 | train_final=145134.40 (ret=0.4513) | avg_td_loss=0.0017
[2025-12-06 20:37:14] Ep 091/750 | train_final=150987.02 (ret=0.5099) | avg_td_loss=0.0017
[2025-12-06 20:37:18] Ep 092/750 | train_final=141564.26 (ret=0.4156) | avg_td_loss=0.0016
[2025-12-06 20:37:22] Ep 093/750 | train_final=151151.05 (ret=0.5115) | avg_td_loss=0.0016
[2025-12-06 20:37:26] Ep 094/750 | train_final=161090.08 (ret=0.6109) | avg_td_loss=0.0015
[2025-12-06 20:37:29] Ep 095/750 | train_final=159354.73 (ret=0.5935) | avg_td_loss=0.0015
[2025-12-06 20:37:33] Ep 096/750 | train_final=150652.38 (ret=0.5065) | avg_td_loss=0.0015
[2025-12-06 20:37:37] Ep 097/750 | train_final=146852.45 (ret=0.4685) | avg_td_loss=0.0015
[2025-12-06 20:37:41] Ep 098/750 | train_final=143363.92 (ret=0.4336) | avg_td_loss=0.0014
